image_path,disease,dataset,split
data/ddidiversedermatologyimages/000027.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000028.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000029.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000030.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000031.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000032.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000033.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000034.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000035.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000036.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000037.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000038.png,squamous-cell-carcinoma-keratoacanthoma,ddi,train
data/ddidiversedermatologyimages/000039.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000040.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000041.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000042.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000043.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000044.png,squamous-cell-carcinoma-keratoacanthoma,ddi,train
data/ddidiversedermatologyimages/000045.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000046.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000047.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000048.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000049.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000050.png,melanoma-acral-lentiginous,ddi,train
data/ddidiversedermatologyimages/000051.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000052.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000053.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000054.png,focal-acral-hyperkeratosis,ddi,train
data/ddidiversedermatologyimages/000055.png,hyperpigmentation,ddi,train
data/ddidiversedermatologyimages/000056.png,lipoma,ddi,train
data/ddidiversedermatologyimages/000057.png,foreign-body-granuloma,ddi,train
data/ddidiversedermatologyimages/000058.png,blue-nevus,ddi,train
data/ddidiversedermatologyimages/000059.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000060.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000061.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000062.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000063.png,wart,ddi,train
data/ddidiversedermatologyimages/000064.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000065.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000066.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000067.png,abrasions-ulcerations-and-physical-injuries,ddi,train
data/ddidiversedermatologyimages/000068.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000069.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000070.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000071.png,basal-cell-carcinoma-nodular,ddi,train
data/ddidiversedermatologyimages/000072.png,basal-cell-carcinoma-superficial,ddi,train
data/ddidiversedermatologyimages/000073.png,basal-cell-carcinoma-nodular,ddi,train
data/ddidiversedermatologyimages/000074.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000075.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000076.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000077.png,acquired-digital-fibrokeratoma,ddi,train
data/ddidiversedermatologyimages/000078.png,epidermal-nevus,ddi,train
data/ddidiversedermatologyimages/000079.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000080.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000081.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000082.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000083.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000084.png,trichilemmoma,ddi,train
data/ddidiversedermatologyimages/000085.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000086.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000087.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000088.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000089.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000090.png,abrasions-ulcerations-and-physical-injuries,ddi,train
data/ddidiversedermatologyimages/000091.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000092.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000093.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000094.png,syringocystadenoma-papilliferum,ddi,train
data/ddidiversedermatologyimages/000095.png,nevus-lipomatosus-superficialis,ddi,train
data/ddidiversedermatologyimages/000096.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000097.png,benign-keratosis,ddi,train
data/ddidiversedermatologyimages/000098.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000099.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000100.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000101.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000102.png,foreign-body-granuloma,ddi,train
data/ddidiversedermatologyimages/000103.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000104.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000105.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000106.png,hyperpigmentation,ddi,train
data/ddidiversedermatologyimages/000107.png,inverted-follicular-keratosis,ddi,train
data/ddidiversedermatologyimages/000108.png,onychomycosis,ddi,train
data/ddidiversedermatologyimages/000109.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000110.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000111.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000112.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000113.png,trichofolliculoma,ddi,train
data/ddidiversedermatologyimages/000114.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000115.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000116.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000117.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000118.png,lymphocytic-infiltrations,ddi,train
data/ddidiversedermatologyimages/000119.png,prurigo-nodularis,ddi,train
data/ddidiversedermatologyimages/000120.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000121.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000122.png,lipoma,ddi,train
data/ddidiversedermatologyimages/000123.png,lipoma,ddi,train
data/ddidiversedermatologyimages/000124.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000125.png,kaposi-sarcoma,ddi,train
data/ddidiversedermatologyimages/000126.png,kaposi-sarcoma,ddi,train
data/ddidiversedermatologyimages/000127.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000128.png,scar,ddi,train
data/ddidiversedermatologyimages/000129.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000130.png,benign-keratosis,ddi,train
data/ddidiversedermatologyimages/000131.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000132.png,eccrine-poroma,ddi,train
data/ddidiversedermatologyimages/000133.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000134.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000135.png,angioleiomyoma,ddi,train
data/ddidiversedermatologyimages/000136.png,eccrine-poroma,ddi,train
data/ddidiversedermatologyimages/000137.png,eccrine-poroma,ddi,train
data/ddidiversedermatologyimages/000138.png,eccrine-poroma,ddi,train
data/ddidiversedermatologyimages/000139.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000140.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000141.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000142.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000143.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000144.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000145.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000146.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000147.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000148.png,keloid,ddi,train
data/ddidiversedermatologyimages/000149.png,hematoma,ddi,train
data/ddidiversedermatologyimages/000150.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000151.png,benign-keratosis,ddi,train
data/ddidiversedermatologyimages/000152.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000153.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000154.png,metastatic-carcinoma,ddi,train
data/ddidiversedermatologyimages/000155.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000156.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000157.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000158.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000159.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000160.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000161.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000162.png,melanoma,ddi,train
data/ddidiversedermatologyimages/000163.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000164.png,angioma,ddi,train
data/ddidiversedermatologyimages/000165.png,metastatic-carcinoma,ddi,train
data/ddidiversedermatologyimages/000166.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000167.png,folliculitis,ddi,train
data/ddidiversedermatologyimages/000168.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000169.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000170.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000171.png,scar,ddi,train
data/ddidiversedermatologyimages/000172.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000173.png,atypical-spindle-cell-nevus-of-reed,ddi,train
data/ddidiversedermatologyimages/000174.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000175.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000176.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000177.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000178.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000179.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000180.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000181.png,blue-nevus,ddi,train
data/ddidiversedermatologyimages/000182.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000183.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000184.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000185.png,eccrine-poroma,ddi,train
data/ddidiversedermatologyimages/000186.png,eccrine-poroma,ddi,train
data/ddidiversedermatologyimages/000187.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000188.png,xanthogranuloma,ddi,train
data/ddidiversedermatologyimages/000189.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000190.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000191.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000192.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000193.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000194.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000195.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000196.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000197.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000198.png,nevus-lipomatosus-superficialis,ddi,train
data/ddidiversedermatologyimages/000199.png,eczema-spongiotic-dermatitis,ddi,train
data/ddidiversedermatologyimages/000200.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000201.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000202.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000203.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000204.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000205.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000206.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000207.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000208.png,arteriovenous-hemangioma,ddi,train
data/ddidiversedermatologyimages/000209.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000210.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000211.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000212.png,acne-cystic,ddi,train
data/ddidiversedermatologyimages/000213.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000214.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000215.png,arteriovenous-hemangioma,ddi,train
data/ddidiversedermatologyimages/000216.png,verruciform-xanthoma,ddi,train
data/ddidiversedermatologyimages/000217.png,eczema-spongiotic-dermatitis,ddi,train
data/ddidiversedermatologyimages/000218.png,eczema-spongiotic-dermatitis,ddi,train
data/ddidiversedermatologyimages/000219.png,molluscum-contagiosum,ddi,train
data/ddidiversedermatologyimages/000220.png,condyloma-accuminatum,ddi,train
data/ddidiversedermatologyimages/000221.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000222.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000223.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000224.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000225.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000226.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000227.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000228.png,morphea,ddi,train
data/ddidiversedermatologyimages/000229.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000230.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000231.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000232.png,eczema-spongiotic-dermatitis,ddi,train
data/ddidiversedermatologyimages/000233.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000234.png,lipoma,ddi,train
data/ddidiversedermatologyimages/000235.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000236.png,neuroma,ddi,train
data/ddidiversedermatologyimages/000237.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000238.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000239.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000240.png,inverted-follicular-keratosis,ddi,train
data/ddidiversedermatologyimages/000241.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000242.png,molluscum-contagiosum,ddi,train
data/ddidiversedermatologyimages/000243.png,dysplastic-nevus,ddi,train
data/ddidiversedermatologyimages/000244.png,squamous-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000245.png,molluscum-contagiosum,ddi,train
data/ddidiversedermatologyimages/000246.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000247.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000248.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000249.png,abrasions-ulcerations-and-physical-injuries,ddi,train
data/ddidiversedermatologyimages/000250.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000251.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000252.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000253.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000254.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000255.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000256.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000257.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000258.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000259.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000260.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000261.png,melanoma,ddi,train
data/ddidiversedermatologyimages/000262.png,nodular-melanoma-(nm),ddi,train
data/ddidiversedermatologyimages/000263.png,melanoma,ddi,train
data/ddidiversedermatologyimages/000264.png,actinic-keratosis,ddi,train
data/ddidiversedermatologyimages/000265.png,dysplastic-nevus,ddi,train
data/ddidiversedermatologyimages/000266.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000267.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000268.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000269.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000270.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000271.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000272.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000273.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000274.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000275.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000276.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000277.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000278.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000279.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000280.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000281.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000282.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000283.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000284.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000285.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000286.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000287.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000288.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000289.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000290.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000291.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000292.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000293.png,basal-cell-carcinoma,ddi,train
data/ddidiversedermatologyimages/000294.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000295.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000296.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000297.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000298.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000299.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000300.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000301.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000302.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000303.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000304.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000305.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000306.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000307.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000308.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000309.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000310.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000311.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000312.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000313.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000314.png,acrochordon,ddi,train
data/ddidiversedermatologyimages/000315.png,lipoma,ddi,train
data/ddidiversedermatologyimages/000316.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000317.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000318.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000319.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000320.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000321.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000322.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000323.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000324.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000325.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000326.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000327.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000328.png,melanocytic-nevi,ddi,train
data/ddidiversedermatologyimages/000329.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000330.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000331.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000332.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000333.png,prurigo-nodularis,ddi,train
data/ddidiversedermatologyimages/000334.png,prurigo-nodularis,ddi,train
data/ddidiversedermatologyimages/000335.png,dermatofibroma,ddi,train
data/ddidiversedermatologyimages/000336.png,arteriovenous-hemangioma,ddi,train
data/ddidiversedermatologyimages/000337.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000338.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000339.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000340.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000341.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000342.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000343.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000344.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000345.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000346.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000347.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000348.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000349.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000350.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000351.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000352.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000353.png,verruca-vulgaris,ddi,train
data/ddidiversedermatologyimages/000354.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000355.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000356.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000357.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000358.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000359.png,squamous-cell-carcinoma-keratoacanthoma,ddi,train
data/ddidiversedermatologyimages/000360.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000361.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000362.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000363.png,seborrheic-keratosis,ddi,train
data/ddidiversedermatologyimages/000364.png,squamous-cell-carcinoma-in-situ,ddi,train
data/ddidiversedermatologyimages/000365.png,epidermal-cyst,ddi,train
data/ddidiversedermatologyimages/000366.png,pyogenic-granuloma,ddi,train
data/ddidiversedermatologyimages/000367.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000368.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000369.png,mycosis-fungoides,ddi,train
data/ddidiversedermatologyimages/000370.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000371.png,seborrheic-keratosis-irritated,ddi,train
data/ddidiversedermatologyimages/000372.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000373.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000374.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000375.png,nevus-lipomatosus-superficialis,ddi,train
data/ddidiversedermatologyimages/000376.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000377.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000378.png,neurofibroma,ddi,train
data/ddidiversedermatologyimages/000379.png,nevus-lipomatosus-superficialis,ddi,train
data/ddidiversedermatologyimages/000380.png,syringocystadenoma-papilliferum,ddi,train
data/ddidiversedermatologyimages/000381.png,pyogenic-granuloma,ddi,train
